Overall_rank,Year,Country,Region,Score,GDP,Social_Support,Health_life_expectancy,Freedom_to_choices,Generosity,Perceptions_of_corruption
63,2019,Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08
65,2019,Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083,0.027
77,2019,Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101
108,2019,Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047
147,2019,Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.419,0.11
38,2015,Taiwan,Eastern Asia,6.298,1.291,1.076,0.875,0.397,0.254,0.081
46,2015,Japan,Eastern Asia,5.987,1.271,1.257,0.991,0.496,0.107,0.181
47,2015,South Korea,Eastern Asia,5.984,1.245,0.958,0.965,0.332,0.186,0.079
72,2015,Hong Kong,Eastern Asia,5.474,1.386,1.058,1.013,0.596,0.395,0.371
84,2015,China,Eastern Asia,5.14,0.89,0.947,0.817,0.517,0.082,0.028
100,2015,Mongolia,Eastern Asia,4.874,0.828,1.301,0.603,0.436,0.332,0.027
34,2016,Taiwan,Eastern Asia,6.379,1.397,0.926,0.796,0.324,0.255,0.066
53,2016,Japan,Eastern Asia,5.921,1.38,1.061,0.915,0.468,0.102,0.19
57,2016,South Korea,Eastern Asia,5.835,1.359,0.722,0.886,0.252,0.188,0.077
75,2016,Hong Kong,Eastern Asia,5.458,1.511,0.87,0.953,0.481,0.401,0.316
83,2016,China,Eastern Asia,5.245,1.028,0.794,0.736,0.44,0.05,0.027
101,2016,Mongolia,Eastern Asia,4.907,0.989,1.09,0.555,0.36,0.345,0.033
51,2017,Japan,Eastern Asia,5.92,1.417,1.436,0.913,0.506,0.121,0.164
55,2017,South Korea,Eastern Asia,5.838,1.402,1.128,0.9,0.258,0.207,0.063
79,2017,China,Eastern Asia,5.273,1.081,1.161,0.741,0.473,0.029,0.023
100,2017,Mongolia,Eastern Asia,4.955,1.027,1.493,0.558,0.394,0.338,0.033
26,2018,Taiwan,Eastern Asia,6.441,1.365,1.436,0.857,0.418,0.151,0.078
54,2018,Japan,Eastern Asia,5.915,1.294,1.462,0.988,0.553,0.079,0.15
57,2018,South Korea,Eastern Asia,5.875,1.266,1.204,0.955,0.244,0.175,0.051
76,2018,Hong Kong,Eastern Asia,5.43,1.405,1.29,1.03,0.524,0.246,0.291
86,2018,China,Eastern Asia,5.246,0.989,1.142,0.799,0.597,0.029,0.103
94,2018,Mongolia,Eastern Asia,5.125,0.914,1.517,0.575,0.395,0.253,0.032
25,2019,Taiwan,Eastern Asia,6.446,1.368,1.43,0.914,0.351,0.242,0.097
54,2019,South Korea,Eastern Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056
58,2019,Japan,Eastern Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14
76,2019,Hong Kong,Eastern Asia,5.43,1.438,1.277,1.122,0.44,0.258,0.287
83,2019,Mongolia,Eastern Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
93,2019,China,Eastern Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1
31,2015,Czech Republic,Central and Eastern Europe,6.505,1.179,1.206,0.845,0.464,0.107,0.027
44,2015,Uzbekistan,Central and Eastern Europe,6.003,0.632,1.34,0.598,0.658,0.228,0.308
45,2015,Slovakia,Central and Eastern Europe,5.995,1.169,1.27,0.789,0.318,0.169,0.034
52,2015,Moldova,Central and Eastern Europe,5.889,0.594,1.015,0.618,0.328,0.21,0.016
54,2015,Kazakhstan,Central and Eastern Europe,5.855,1.123,1.122,0.644,0.516,0.118,0.085
55,2015,Slovenia,Central and Eastern Europe,5.848,1.185,1.274,0.873,0.609,0.253,0.038
56,2015,Lithuania,Central and Eastern Europe,5.833,1.147,1.257,0.731,0.213,0.026,0.01
59,2015,Belarus,Central and Eastern Europe,5.813,1.032,1.233,0.736,0.379,0.11,0.191
60,2015,Poland,Central and Eastern Europe,5.791,1.126,1.279,0.779,0.531,0.168,0.042
62,2015,Croatia,Central and Eastern Europe,5.759,1.083,0.796,0.788,0.259,0.054,0.024
64,2015,Russia,Central and Eastern Europe,5.716,1.138,1.236,0.669,0.367,0.002,0.03
69,2015,Kosovo,Central and Eastern Europe,5.589,0.801,0.812,0.631,0.247,0.283,0.047
70,2015,Turkmenistan,Central and Eastern Europe,5.548,0.958,1.227,0.539,0.476,0.17,0.308
73,2015,Estonia,Central and Eastern Europe,5.429,1.152,1.228,0.774,0.449,0.087,0.152
77,2015,Kyrgyzstan,Central and Eastern Europe,5.286,0.474,1.151,0.651,0.435,0.3,0.042
80,2015,Azerbaijan,Central and Eastern Europe,5.212,1.024,0.938,0.64,0.37,0.078,0.161
82,2015,Montenegro,Central and Eastern Europe,5.192,0.974,0.906,0.725,0.183,0.161,0.143
86,2015,Romania,Central and Eastern Europe,5.124,1.043,0.886,0.769,0.351,0.137,0.006
87,2015,Serbia,Central and Eastern Europe,5.123,0.921,1.01,0.748,0.201,0.192,0.026
89,2015,Latvia,Central and Eastern Europe,5.098,1.113,1.096,0.724,0.297,0.182,0.063
93,2015,Macedonia,Central and Eastern Europe,5.007,0.919,1.002,0.735,0.335,0.224,0.053
95,2015,Albania,Central and Eastern Europe,4.959,0.879,0.804,0.813,0.357,0.143,0.064
96,2015,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.832,0.919,0.791,0.092,0.248,0.002
104,2015,Hungary,Central and Eastern Europe,4.8,1.121,1.202,0.759,0.321,0.128,0.028
106,2015,Tajikistan,Central and Eastern Europe,4.786,0.39,0.856,0.574,0.472,0.23,0.151
111,2015,Ukraine,Central and Eastern Europe,4.681,0.799,1.203,0.674,0.251,0.153,0.03
127,2015,Armenia,Central and Eastern Europe,4.35,0.768,0.777,0.73,0.198,0.079,0.039
130,2015,Georgia,Central and Eastern Europe,4.297,0.742,0.386,0.729,0.406,0.055,0.383
134,2015,Bulgaria,Central and Eastern Europe,4.218,1.012,1.106,0.766,0.306,0.119,0.009
27,2016,Czech Republic,Central and Eastern Europe,6.596,1.309,1.008,0.764,0.414,0.099,0.04
45,2016,Slovakia,Central and Eastern Europe,6.078,1.28,1.083,0.704,0.234,0.138,0.029
49,2016,Uzbekistan,Central and Eastern Europe,5.987,0.736,1.168,0.502,0.608,0.343,0.283
54,2016,Kazakhstan,Central and Eastern Europe,5.919,1.229,0.955,0.574,0.405,0.15,0.111
55,2016,Moldova,Central and Eastern Europe,5.897,0.692,0.831,0.523,0.252,0.2,0.019
56,2016,Russia,Central and Eastern Europe,5.856,1.232,1.053,0.59,0.327,0.027,0.036
57,2016,Poland,Central and Eastern Europe,5.835,1.246,1.047,0.691,0.452,0.144,0.055
60,2016,Lithuania,Central and Eastern Europe,5.813,1.269,1.064,0.647,0.189,0.02,0.018
61,2016,Belarus,Central and Eastern Europe,5.802,1.131,1.05,0.631,0.291,0.139,0.175
63,2016,Slovenia,Central and Eastern Europe,5.768,1.299,1.056,0.792,0.532,0.257,0.036
65,2016,Turkmenistan,Central and Eastern Europe,5.658,1.08,1.038,0.44,0.374,0.226,0.285
68,2016,Latvia,Central and Eastern Europe,5.56,1.218,0.95,0.64,0.28,0.174,0.089
71,2016,Romania,Central and Eastern Europe,5.528,1.17,0.728,0.676,0.367,0.129,0.007
72,2016,Estonia,Central and Eastern Europe,5.517,1.28,1.052,0.681,0.415,0.084,0.185
74,2016,Croatia,Central and Eastern Europe,5.488,1.186,0.608,0.705,0.239,0.184,0.04
77,2016,Kosovo,Central and Eastern Europe,5.401,0.901,0.661,0.54,0.144,0.28,0.065
81,2016,Azerbaijan,Central and Eastern Europe,5.291,1.124,0.76,0.545,0.353,0.056,0.179
85,2016,Kyrgyzstan,Central and Eastern Europe,5.185,0.56,0.954,0.554,0.402,0.384,0.048
86,2016,Serbia,Central and Eastern Europe,5.177,1.034,0.813,0.646,0.157,0.207,0.043
87,2016,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.934,0.644,0.708,0.095,0.299,0
88,2016,Montenegro,Central and Eastern Europe,5.161,1.078,0.742,0.635,0.151,0.172,0.127
91,2016,Hungary,Central and Eastern Europe,5.145,1.241,0.932,0.676,0.198,0.099,0.045
95,2016,Macedonia,Central and Eastern Europe,5.121,1.019,0.782,0.647,0.277,0.235,0.07
100,2016,Tajikistan,Central and Eastern Europe,4.996,0.488,0.756,0.531,0.434,0.26,0.135
109,2016,Albania,Central and Eastern Europe,4.655,0.955,0.502,0.73,0.319,0.168,0.053
121,2016,Armenia,Central and Eastern Europe,4.36,0.861,0.625,0.641,0.14,0.078,0.036
123,2016,Ukraine,Central and Eastern Europe,4.324,0.873,1.014,0.586,0.129,0.204,0.018
126,2016,Georgia,Central and Eastern Europe,4.252,0.838,0.192,0.64,0.325,0.068,0.319
129,2016,Bulgaria,Central and Eastern Europe,4.217,1.113,0.925,0.678,0.212,0.128,0.006
23,2017,Czech Republic,Central and Eastern Europe,6.609,1.353,1.434,0.754,0.491,0.088,0.037
40,2017,Slovakia,Central and Eastern Europe,6.098,1.325,1.505,0.713,0.296,0.137,0.024
46,2017,Poland,Central and Eastern Europe,5.973,1.292,1.446,0.699,0.52,0.158,0.059
47,2017,Uzbekistan,Central and Eastern Europe,5.971,0.786,1.549,0.498,0.658,0.416,0.247
49,2017,Russia,Central and Eastern Europe,5.963,1.282,1.469,0.547,0.374,0.052,0.033
52,2017,Lithuania,Central and Eastern Europe,5.902,1.315,1.474,0.629,0.234,0.01,0.012
54,2017,Latvia,Central and Eastern Europe,5.85,1.261,1.405,0.639,0.326,0.153,0.074
56,2017,Moldova,Central and Eastern Europe,5.838,0.729,1.252,0.589,0.241,0.209,0.01
57,2017,Romania,Central and Eastern Europe,5.825,1.218,1.15,0.685,0.457,0.134,0.004
59,2017,Turkmenistan,Central and Eastern Europe,5.822,1.131,1.493,0.438,0.418,0.25,0.259
60,2017,Kazakhstan,Central and Eastern Europe,5.819,1.285,1.384,0.606,0.437,0.202,0.119
62,2017,Slovenia,Central and Eastern Europe,5.758,1.341,1.453,0.791,0.573,0.243,0.045
66,2017,Estonia,Central and Eastern Europe,5.611,1.321,1.477,0.695,0.479,0.099,0.183
67,2017,Belarus,Central and Eastern Europe,5.569,1.157,1.445,0.638,0.295,0.155,0.156
73,2017,Serbia,Central and Eastern Europe,5.395,1.069,1.258,0.651,0.209,0.22,0.041
75,2017,Hungary,Central and Eastern Europe,5.324,1.286,1.343,0.688,0.176,0.078,0.037
77,2017,Croatia,Central and Eastern Europe,5.293,1.223,0.968,0.701,0.256,0.248,0.043
78,2017,Kosovo,Central and Eastern Europe,5.279,0.951,1.138,0.541,0.26,0.32,0.057
83,2017,Montenegro,Central and Eastern Europe,5.237,1.121,1.238,0.667,0.195,0.198,0.088
85,2017,Azerbaijan,Central and Eastern Europe,5.234,1.154,1.152,0.541,0.398,0.045,0.181
90,2017,Bosnia and Herzegovina,Central and Eastern Europe,5.182,0.982,1.069,0.705,0.204,0.329,0
92,2017,Macedonia,Central and Eastern Europe,5.175,1.065,1.208,0.645,0.326,0.254,0.06
96,2017,Tajikistan,Central and Eastern Europe,5.041,0.525,1.271,0.529,0.472,0.249,0.146
98,2017,Kyrgyzstan,Central and Eastern Europe,5.004,0.596,1.394,0.553,0.455,0.429,0.039
105,2017,Bulgaria,Central and Eastern Europe,4.714,1.161,1.434,0.708,0.289,0.113,0.011
109,2017,Albania,Central and Eastern Europe,4.644,0.996,0.804,0.731,0.381,0.201,0.04
121,2017,Armenia,Central and Eastern Europe,4.376,0.901,1.007,0.638,0.198,0.083,0.027
125,2017,Georgia,Central and Eastern Europe,4.286,0.951,0.571,0.65,0.309,0.054,0.252
132,2017,Ukraine,Central and Eastern Europe,4.096,0.895,1.395,0.576,0.123,0.27,0.023
21,2018,Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.064,0.034
39,2018,Slovakia,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.118,0.014
42,2018,Poland,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.108,0.064
44,2018,Uzbekistan,Central and Eastern Europe,6.096,0.719,1.584,0.605,0.724,0.328,0.259
50,2018,Lithuania,Central and Eastern Europe,5.952,1.197,1.527,0.716,0.35,0.026,0.006
51,2018,Slovenia,Central and Eastern Europe,5.948,1.219,1.506,0.856,0.633,0.16,0.051
52,2018,Romania,Central and Eastern Europe,5.945,1.116,1.219,0.726,0.528,0.088,0.001
53,2018,Latvia,Central and Eastern Europe,5.933,1.148,1.454,0.671,0.363,0.092,0.066
59,2018,Russia,Central and Eastern Europe,5.81,1.151,1.479,0.599,0.399,0.065,0.025
60,2018,Kazakhstan,Central and Eastern Europe,5.79,1.143,1.516,0.631,0.454,0.148,0.121
63,2018,Estonia,Central and Eastern Europe,5.739,1.2,1.532,0.737,0.553,0.086,0.174
66,2018,Kosovo,Central and Eastern Europe,5.662,0.855,1.23,0.578,0.448,0.274,0.023
67,2018,Moldova,Central and Eastern Europe,5.64,0.657,1.301,0.62,0.232,0.171,0
68,2018,Turkmenistan,Central and Eastern Europe,5.636,1.016,1.533,0.517,0.417,0.199,0.037
69,2018,Hungary,Central and Eastern Europe,5.62,1.171,1.401,0.732,0.259,0.061,0.022
73,2018,Belarus,Central and Eastern Europe,5.483,1.039,1.498,0.7,0.307,0.101,0.154
78,2018,Serbia,Central and Eastern Europe,5.398,0.975,1.369,0.685,0.288,0.134,0.043
80,2018,Tajikistan,Central and Eastern Europe,5.358,0.474,1.179,0.598,0.503,0.214,0.136
81,2018,Montenegro,Central and Eastern Europe,5.347,1.017,1.279,0.729,0.259,0.111,0.081
82,2018,Croatia,Central and Eastern Europe,5.321,1.115,1.161,0.737,0.38,0.12,0.039
87,2018,Azerbaijan,Central and Eastern Europe,5.201,1.024,1.161,0.603,0.43,0.031,0.176
89,2018,Macedonia,Central and Eastern Europe,5.185,0.959,1.239,0.691,0.394,0.173,0.052
92,2018,Kyrgyzstan,Central and Eastern Europe,5.131,0.53,1.416,0.594,0.54,0.281,0.035
93,2018,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0.216,0
100,2018,Bulgaria,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.064,0.009
112,2018,Albania,Central and Eastern Europe,4.586,0.916,0.817,0.79,0.419,0.149,0.032
128,2018,Georgia,Central and Eastern Europe,4.34,0.853,0.592,0.643,0.375,0.038,0.215
129,2018,Armenia,Central and Eastern Europe,4.321,0.816,0.99,0.666,0.26,0.077,0.028
138,2018,Ukraine,Central and Eastern Europe,4.103,0.793,1.413,0.609,0.163,0.187,0.011
20,2019,Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036
38,2019,Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014
40,2019,Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05
41,2019,Uzbekistan,Central and Eastern Europe,6.174,0.745,1.529,0.756,0.631,0.322,0.24
42,2019,Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042
44,2019,Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057
46,2019,Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006
48,2019,Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005
53,2019,Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064
55,2019,Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161
60,2019,Kazakhstan,Central and Eastern Europe,5.809,1.173,1.508,0.729,0.41,0.146,0.096
62,2019,Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02
68,2019,Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.082,0.031
70,2019,Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039
71,2019,Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.181,0
73,2019,Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08
74,2019,Tajikistan,Central and Eastern Europe,5.467,0.493,1.098,0.718,0.389,0.23,0.144
75,2019,Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022
78,2019,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006
81,2019,Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.094,0.142
86,2019,Kyrgyzstan,Central and Eastern Europe,5.261,0.551,1.438,0.723,0.508,0.3,0.023
87,2019,Turkmenistan,Central and Eastern Europe,5.247,1.052,1.538,0.657,0.394,0.244,0.028
90,2019,Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.035,0.182
97,2019,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004
107,2019,Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027
116,2019,Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095,0.064
119,2019,Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043,0.164
133,2019,Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.187,0.01
52,2016,Belize,Central America,5.956,0.876,0.687,0.456,0.512,0.237,0.108
50,2017,Belize,Central America,5.956,0.908,1.081,0.45,0.548,0.24,0.097
49,2018,Belize,Central America,5.956,0.807,1.101,0.474,0.593,0.183,0.089
9,2015,New Zealand,Australia and New Zealand,7.286,1.25,1.32,0.908,0.639,0.475,0.429
10,2015,Australia,Australia and New Zealand,7.284,1.334,1.309,0.932,0.651,0.436,0.356
8,2016,New Zealand,Australia and New Zealand,7.334,1.361,1.173,0.831,0.581,0.494,0.419
9,2016,Australia,Australia and New Zealand,7.313,1.444,1.105,0.851,0.568,0.474,0.323
8,2017,New Zealand,Australia and New Zealand,7.314,1.406,1.548,0.817,0.614,0.5,0.383
10,2017,Australia,Australia and New Zealand,7.284,1.484,1.51,0.844,0.602,0.478,0.301
8,2018,New Zealand,Australia and New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389
10,2018,Australia,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.361,0.302
8,2019,New Zealand,Australia and New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
11,2019,Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.332,0.29
120,2019,Gambia,,4.516,0.308,0.939,0.428,0.382,0.269,0.167
71,2017,"Hong Kong S.A.R., China",Southern Asia,5.472,1.552,1.263,0.943,0.491,0.374,0.294
16,2019,Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31
113,2016,Namibia,Southern Africa,4.574,0.933,0.704,0.347,0.486,0.078,0.104
111,2017,Namibia,Southern Africa,4.574,0.964,1.098,0.339,0.52,0.077,0.093
119,2018,Namibia,Southern Africa,4.441,0.874,1.281,0.365,0.519,0.051,0.064
113,2019,Namibia,Southern Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056
84,2019,North Macedonia,,5.274,0.983,1.294,0.838,0.345,0.185,0.034
58,2018,Northern Cyprus,,5.835,1.229,1.211,0.909,0.495,0.179,0.154
64,2019,Northern Cyprus,,5.718,1.263,1.252,1.042,0.417,0.191,0.162
15,2016,Puerto Rico,,7.039,1.359,1.081,0.778,0.468,0.222,0.123
76,2016,Somalia,,5.44,0,0.336,0.115,0.568,0.272,0.312
93,2017,Somalia,,5.151,0.023,0.721,0.114,0.602,0.292,0.282
98,2018,Somalia,,4.982,0,0.712,0.115,0.674,0.238,0.282
112,2019,Somalia,,4.668,0,0.698,0.268,0.559,0.243,0.27
143,2016,South Sudan,,3.832,0.394,0.185,0.158,0.197,0.259,0.13
147,2017,South Sudan,,3.591,0.397,0.601,0.163,0.147,0.286,0.117
154,2018,South Sudan,,3.254,0.337,0.608,0.177,0.112,0.224,0.106
156,2019,South Sudan,,2.853,0.306,0.575,0.295,0.01,0.202,0.091
135,2019,Swaziland,,4.212,0.811,1.149,0,0.313,0.074,0.135
33,2017,Taiwan Province of China,,6.422,1.434,1.385,0.794,0.361,0.258,0.064
,2020,Finland,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
,2020,Denmark,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328
,2020,Switzerland,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901
,2020,Iceland,Western Europe,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772
,2020,Norway,Western Europe,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568
,2020,Netherlands,Western Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762
,2020,Sweden,Western Europe,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371
,2020,New Zealand,North America and ANZ,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276
,2020,Austria,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139
,2020,Luxembourg,Western Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469
,2020,Canada,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856
,2020,Australia,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
,2020,United Kingdom,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646
,2020,Israel,Middle East and North Africa,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845
,2020,Costa Rica,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092
,2020,Ireland,Western Europe,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262
,2020,Germany,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292
,2020,United States,North America and ANZ,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741
,2020,Czech Republic,Central and Eastern Europe,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223
,2020,Belgium,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052
,2020,Finland,Western Europe,6.834819006,1.264704732,1.381554606,0.934569013,0.50941922,0.210059221,0.147671827
,2020,Denmark,Western Europe,6.793405101,1.260214792,1.375399385,0.930456157,0.500974783,0.20565946,0.132306882
,2020,Switzerland,Western Europe,6.751991197,1.255724852,1.369244164,0.926343302,0.492530346,0.2012597,0.116941938
,2020,Iceland,Western Europe,6.710577292,1.251234912,1.363088943,0.922230447,0.484085908,0.196859939,0.101576993
,2020,Norway,Western Europe,6.669163388,1.246744971,1.356933722,0.918117591,0.475641471,0.192460178,0.086212049
,2020,Netherlands,Western Europe,6.627749483,1.242255031,1.350778501,0.914004736,0.467197034,0.188060417,0.070847104
,2020,Sweden,Western Europe,6.586335579,1.237765091,1.34462328,0.909891881,0.458752596,0.183660656,0.05548216
,2020,New Zealand,North America and ANZ,6.544921674,1.23327515,1.338468059,0.905779025,0.450308159,0.179260896,0.040117215
,2020,Austria,Western Europe,6.50350777,1.22878521,1.332312838,0.90166617,0.441863721,0.174861135,0.024752271
,2020,Luxembourg,Western Europe,6.462093865,1.22429527,1.326157617,0.897553315,0.433419284,0.170461374,0.009387326
,2020,Canada,North America and ANZ,6.420679961,1.21980533,1.320002396,0.893440459,0.424974847,0.166061613,-0.005977618
,2020,Australia,North America and ANZ,6.379266056,1.215315389,1.313847175,0.889327604,0.416530409,0.161661852,-0.021342563
,2020,United Kingdom,Western Europe,6.337852152,1.210825449,1.307691954,0.885214748,0.408085972,0.157262092,-0.036707507
,2020,Israel,Middle East and North Africa,6.296438247,1.206335509,1.301536733,0.881101893,0.399641534,0.152862331,-0.052072452
,2020,Costa Rica,Latin America and Caribbean,6.255024343,1.201845569,1.295381512,0.876989038,0.391197097,0.14846257,-0.067437396
,2020,Ireland,Western Europe,6.213610438,1.197355628,1.289226291,0.872876182,0.38275266,0.144062809,-0.082802341
,2020,Germany,Western Europe,6.172196534,1.192865688,1.28307107,0.868763327,0.374308222,0.139663048,-0.098167285
,2020,United States,North America and ANZ,6.130782629,1.188375748,1.276915849,0.864650472,0.365863785,0.135263288,-0.11353223
,2020,Czech Republic,Central and Eastern Europe,6.089368725,1.183885807,1.270760628,0.860537616,0.357419348,0.130863527,-0.128897174
,2020,Belgium,Western Europe,6.04795482,1.179395867,1.264605407,0.856424761,0.34897491,0.126463766,-0.144262119
,2020,Finland,Western Europe,6.006540916,1.174905927,1.258450186,0.852311906,0.340530473,0.122064005,-0.159627063
,2020,Denmark,Western Europe,5.965127011,1.170415987,1.252294965,0.84819905,0.332086035,0.117664244,-0.174992008
,2020,Switzerland,Western Europe,5.923713107,1.165926046,1.246139744,0.844086195,0.323641598,0.113264484,-0.190356952
,2020,Iceland,Western Europe,5.882299202,1.161436106,1.239984523,0.83997334,0.315197161,0.108864723,-0.205721897
,2020,Norway,Western Europe,5.840885298,1.156946166,1.233829302,0.835860484,0.306752723,0.104464962,-0.221086841
,2020,Netherlands,Western Europe,5.799471393,1.152456225,1.227674081,0.831747629,0.298308286,0.100065201,-0.236451786
,2020,Sweden,Western Europe,5.758057489,1.147966285,1.22151886,0.827634774,0.289863848,0.09566544,-0.25181673
,2020,New Zealand,North America and ANZ,5.716643584,1.143476345,1.215363639,0.823521918,0.281419411,0.09126568,-0.267181675
,2020,Austria,Western Europe,5.67522968,1.138986405,1.209208418,0.819409063,0.272974974,0.086865919,-0.282546619
,2020,Luxembourg,Western Europe,5.633815775,1.134496464,1.203053197,0.815296208,0.264530536,0.082466158,-0.297911564
,2020,Canada,North America and ANZ,5.592401871,1.130006524,1.196897976,0.811183352,0.256086099,0.078066397,-0.313276508
,2020,Australia,North America and ANZ,5.550987966,1.125516584,1.190742755,0.807070497,0.247641661,0.073666636,-0.328641453
,2020,United Kingdom,Western Europe,5.509574062,1.121026643,1.184587534,0.802957642,0.239197224,0.069266876,-0.344006397
,2020,Israel,Middle East and North Africa,5.468160157,1.116536703,1.178432313,0.798844786,0.230752787,0.064867115,-0.359371342
,2020,Costa Rica,Latin America and Caribbean,5.426746253,1.112046763,1.172277092,0.794731931,0.222308349,0.060467354,-0.374736286
,2020,Ireland,Western Europe,5.385332348,1.107556823,1.166121871,0.790619076,0.213863912,0.056067593,-0.390101231
,2020,Germany,Western Europe,5.343918444,1.103066882,1.15996665,0.78650622,0.205419475,0.051667833,-0.405466175
,2020,United States,North America and ANZ,5.302504539,1.098576942,1.153811429,0.782393365,0.196975037,0.047268072,-0.42083112
,2020,Czech Republic,Central and Eastern Europe,5.261090635,1.094087002,1.147656208,0.77828051,0.1885306,0.042868311,-0.436196064
,2020,Belgium,Western Europe,5.21967673,1.089597062,1.141500987,0.774167654,0.180086162,0.03846855,-0.451561009
,2020,Finland,Western Europe,5.178262826,1.085107121,1.135345766,0.770054799,0.171641725,0.034068789,-0.466925953
,2020,Denmark,Western Europe,5.136848921,1.080617181,1.129190545,0.765941944,0.163197288,0.029669029,-0.482290898
,2020,Switzerland,Western Europe,5.095435017,1.076127241,1.123035324,0.761829088,0.15475285,0.025269268,-0.497655842
